CustomerID,Country,State,City,Zip_Code,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Contract,Phone_Service,Internet_Service,Multiple_Lines,Streaming_TV,Streaming_Movies,Online_Security,Tech_Support,Online_Backup,Device_Protection,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,CLTV,Churn_Label,Churn_Value,Churn_Score,Churn_Reason
3668-QPYBK,United States,California,Los Angeles,90003,33.964131,-118.272783,Male,No,No,No,2,Month-to-month,Yes,DSL,No,No,No,Yes,No,Yes,No,Yes,Mailed check,53.85,108.15,3239,Yes,1,86,Competitor made better offer
9237-HQITU,United States,California,Los Angeles,90005,34.059281,-118.307420,Female,No,No,Yes,2,Month-to-month,Yes,Fiber optic,No,No,No,No,No,No,No,Yes,Electronic check,70.7,151.65,2701,Yes,1,67,Moved
9305-CDSKC,United States,California,Los Angeles,90006,34.048013,-118.293953,Female,No,No,Yes,8,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Electronic check,99.65,820.5,5372,Yes,1,86,Moved
7892-POOKP,United States,California,Los Angeles,90010,34.062125,-118.315709,Female,No,Yes,Yes,28,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Electronic check,104.8,3046.05,5003,Yes,1,84,Moved
0280-XJGEX,United States,California,Los Angeles,90015,34.039224,-118.266293,Male,No,No,Yes,49,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),103.7,5036.3,5340,Yes,1,89,Competitor had better devices
4190-MFLUW,United States,California,Los Angeles,90020,34.066367,-118.309868,Female,No,Yes,No,10,Month-to-month,Yes,DSL,No,No,No,No,Yes,No,Yes,No,Credit card (automatic),55.2,528.35,5925,Yes,1,78,Competitor offered higher download speeds
8779-QRDMV,United States,California,Los Angeles,90022,34.023810,-118.156582,Male,Yes,No,No,1,Month-to-month,No,DSL,No phone service,No,Yes,No,No,No,Yes,Yes,Electronic check,39.65,39.65,5433,Yes,1,100,Competitor offered more data
1066-JKSGK,United States,California,Los Angeles,90024,34.066303,-118.435479,Male,No,No,No,1,Month-to-month,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.15,20.15,4832,Yes,1,92,Competitor made better offer
6467-CHFZW,United States,California,Los Angeles,90028,34.099869,-118.326843,Male,No,Yes,Yes,47,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Yes,Electronic check,99.35,4749.15,5789,Yes,1,77,Competitor had better devices
8665-UTDHZ,United States,California,Los Angeles,90029,34.089953,-118.294824,Male,No,Yes,No,1,Month-to-month,No,DSL,No phone service,No,No,No,No,Yes,No,No,Electronic check,30.2,30.2,2915,Yes,1,97,Competitor had better devices
8773-HHUOZ,United States,California,Los Angeles,90032,34.078821,-118.177576,Female,No,No,No,17,Month-to-month,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,Mailed check,64.7,1093.1,3022,Yes,1,74,Competitor offered higher download speeds
6047-YHPVI,United States,California,Los Angeles,90039,34.110845,-118.259595,Male,No,No,Yes,5,Month-to-month,Yes,Fiber optic,No,No,No,No,No,No,No,Yes,Electronic check,69.7,316.9,2454,Yes,1,66,Competitor offered higher download speeds
5380-WJKOV,United States,California,Los Angeles,90041,34.137412,-118.207607,Male,No,No,Yes,34,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,106.35,3549.25,2941,Yes,1,65,Competitor offered higher download speeds
8168-UQWWF,United States,California,Los Angeles,90042,34.115720,-118.192754,Female,No,No,Yes,11,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Bank transfer (automatic),97.85,1105.4,5674,Yes,1,70,Competitor offered more data
7760-OYPDY,United States,California,Los Angeles,90056,33.987945,-118.370442,Female,No,No,Yes,2,Month-to-month,Yes,Fiber optic,No,Yes,No,No,No,No,No,Yes,Electronic check,80.65,144.15,5586,Yes,1,90,Competitor offered more data
9420-LOJKX,United States,California,Los Angeles,90061,33.921280,-118.274186,Female,No,No,Yes,15,Month-to-month,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),99.1,1426.4,2966,Yes,1,82,Competitor offered more data
7495-OOKFY,United States,California,Los Angeles,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Month-to-month,Yes,Fiber optic,Yes,No,No,No,No,Yes,No,Yes,Credit card (automatic),80.65,633.3,5302,Yes,1,69,Competitor made better offer
1658-BYGOY,United States,California,Los Angeles,90065,34.108833,-118.229715,Male,Yes,No,Yes,18,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,Electronic check,95.45,1752.55,3179,Yes,1,81,Competitor made better offer
5698-BQJOH,United States,California,Beverly Hills,90211,34.063947,-118.383001,Female,No,No,Yes,9,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,No,No,Electronic check,94.4,857.25,5571,Yes,1,96,Price too high
5919-TMRGD,United States,California,Huntington Park,90255,33.978030,-118.217141,Female,No,No,Yes,1,Month-to-month,Yes,Fiber optic,No,Yes,No,No,No,No,No,Yes,Electronic check,79.35,79.35,2483,Yes,1,87,Product dissatisfaction
9191-MYQKX,United States,California,Lynwood,90262,33.923573,-118.200669,Female,No,Yes,Yes,7,Month-to-month,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),75.15,496.9,3457,Yes,1,70,Service dissatisfaction
8637-XJIVR,United States,California,Marina Del Rey,90292,33.977468,-118.445475,Female,No,No,Yes,12,Month-to-month,Yes,Fiber optic,Yes,No,No,Yes,No,No,No,Yes,Electronic check,78.95,927.35,5806,Yes,1,86,Lack of self-service on Website
0278-YXOOG,United States,California,Inglewood,90301,33.956445,-118.358634,Male,No,No,No,5,Month-to-month,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,21.05,113.85,2604,Yes,1,66,Network reliability
4598-XLKNJ,United States,California,Inglewood,90303,33.936291,-118.332639,Female,Yes,Yes,Yes,25,Month-to-month,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,98.5,2514.5,5337,Yes,1,88,Limited range of services
3192-NQECA,United States,California,Santa Monica,90403,34.031529,-118.491156,Male,No,Yes,No,68,Two year,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),110,7611.85,5034,Yes,1,86,Lack of affordable download/upload speed
0486-HECZI,United States,California,Torrance,90504,33.867257,-118.330794,Male,No,Yes,Yes,55,Month-to-month,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,Yes,Electronic check,96.75,5238.9,5154,Yes,1,75,Long distance charges
4846-WHAFZ,United States,California,Whittier,90602,33.972119,-118.020188,Female,Yes,Yes,Yes,37,Month-to-month,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes,Electronic check,76.5,2868.15,2793,Yes,1,67,Extra data charges
5299-RULOA,United States,California,Whittier,90606,33.976678,-118.065875,Female,No,Yes,Yes,10,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Electronic check,100.25,1064.65,5998,Yes,1,87,Price too high
0404-SWRVG,United States,California,La Habra,90631,33.940619,-117.951300,Male,No,No,Yes,3,Month-to-month,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes,Electronic check,74.4,229.55,4415,Yes,1,76,Product dissatisfaction
4412-YLTKF,United States,California,Pico Rivera,90660,33.989524,-118.089299,Female,Yes,No,Yes,27,Month-to-month,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Electronic check,78.05,2135.5,4638,Yes,1,95,Service dissatisfaction
6207-WIOLX,United States,California,Avalon,90704,33.391181,-118.421305,Female,No,Yes,No,25,Month-to-month,No,DSL,No phone service,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),58.6,1502.65,4190,Yes,1,99,Lack of self-service on Website
3091-FYHKI,United States,California,Harbor City,90710,33.798266,-118.300237,Male,No,No,No,1,Month-to-month,No,DSL,No phone service,No,Yes,No,No,No,No,Yes,Electronic check,35.45,35.45,2301,Yes,1,80,Network reliability
2372-HWUHI,United States,California,Lakewood,90712,33.840524,-118.148403,Male,No,No,No,2,Month-to-month,Yes,DSL,No,No,No,No,No,No,No,No,Electronic check,44.35,81.25,2570,Yes,1,76,Don't know
0390-DCFDQ,United States,California,Los Alamitos,90720,33.794990,-118.065591,Female,Yes,Yes,Yes,1,Month-to-month,Yes,Fiber optic,No,No,No,No,No,No,No,Yes,Mailed check,70.45,70.45,3964,Yes,1,76,Don't know
4080-OGPJL,United States,California,San Pedro,90731,33.736387,-118.284363,Female,No,No,No,8,Month-to-month,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,No,Electronic check,71.15,563.65,2662,Yes,1,66,Don't know
2135-RXIHG,United States,California,Carson,90745,33.822295,-118.264110,Male,No,No,No,1,Month-to-month,Yes,DSL,No,No,No,No,No,No,No,Yes,Electronic check,45.65,45.65,2600,Yes,1,73,Poor expertise of online support
3874-EQOEP,United States,California,Long Beach,90804,33.783047,-118.148600,Male,No,No,Yes,7,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,No,No,Mailed check,95,655.5,2786,Yes,1,94,Poor expertise of phone support
0867-MKZVY,United States,California,Altadena,91001,34.196837,-118.142236,Female,No,Yes,Yes,20,Month-to-month,Yes,Fiber optic,Yes,No,No,Yes,No,No,No,No,Electronic check,82.4,1592.35,5719,Yes,1,86,Price too high
3376-BMGFE,United States,California,Monrovia,91016,34.152800,-118.000482,Female,No,No,Yes,4,Month-to-month,Yes,Fiber optic,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),70.9,273,4287,Yes,1,75,Product dissatisfaction
3445-HXXGF,United States,California,Sierra Madre,91024,34.168686,-118.057505,Male,Yes,Yes,No,58,Month-to-month,No,DSL,No phone service,No,Yes,No,No,Yes,Yes,Yes,Electronic check,45.3,2651.2,5444,Yes,1,100,Service dissatisfaction
1875-QIVME,United States,California,Tujunga,91042,34.296574,-118.244839,Female,No,Yes,Yes,2,Month-to-month,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Electronic check,104.4,242.8,4690,Yes,1,83,Lack of self-service on Website
0691-JVSYA,United States,California,Pasadena,91103,34.167465,-118.165327,Female,No,Yes,No,53,One year,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,Bank transfer (automatic),94.85,5000.2,4328,Yes,1,80,Network reliability
2656-FMOKZ,United States,California,Pasadena,91106,34.139402,-118.128658,Female,Yes,No,Yes,15,Month-to-month,Yes,Fiber optic,Yes,No,No,No,No,No,No,Yes,Mailed check,74.45,1145.7,5717,Yes,1,99,Limited range of services
2070-FNEXE,United States,California,Pasadena,91107,34.159007,-118.087353,Female,Yes,No,Yes,7,Month-to-month,Yes,Fiber optic,No,No,No,Yes,No,No,No,No,Bank transfer (automatic),76.45,503.6,4419,Yes,1,81,Lack of affordable download/upload speed
6317-YPKDH,United States,California,Glendale,91202,34.167926,-118.267539,Female,No,No,No,1,Month-to-month,No,DSL,No phone service,No,No,No,No,Yes,No,No,Bank transfer (automatic),29.95,29.95,4534,Yes,1,95,Long distance charges
9367-WXLCH,United States,California,Glendale,91204,34.136306,-118.260360,Male,No,No,Yes,8,Month-to-month,Yes,Fiber optic,Yes,No,Yes,No,No,No,No,No,Bank transfer (automatic),84.5,662.65,2152,Yes,1,86,Extra data charges
1918-ZBFQJ,United States,California,Glendale,91206,34.162515,-118.203869,Female,No,No,Yes,13,Month-to-month,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Electronic check,79.25,1111.65,5142,Yes,1,73,Price too high
1024-GUALD,United States,California,Glendale,91207,34.182378,-118.262922,Female,No,Yes,No,1,Month-to-month,No,DSL,No phone service,No,No,No,No,No,No,Yes,Electronic check,24.8,24.8,4851,Yes,1,94,Product dissatisfaction
2472-OVKUP,United States,California,Canoga Park,91304,34.224377,-118.632656,Male,No,Yes,Yes,6,Month-to-month,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes,Electronic check,91,531,2283,Yes,1,94,Service dissatisfaction
1285-OKIPP,United States,California,Mission Hills,91345,34.266389,-118.459744,Male,No,No,Yes,1,Month-to-month,Yes,Fiber optic,No,No,Yes,No,No,No,No,No,Electronic check,79.9,79.9,3394,Yes,1,98,Lack of self-service on Website
7825-ECJRF,United States,California,Santa Clarita,91350,34.502432,-118.414590,Female,No,No,Yes,19,Month-to-month,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Electronic check,106.6,1934.45,3764,Yes,1,71,Network reliability
7841-TZDMQ,United States,California,Sun Valley,91352,34.231053,-118.338307,Male,No,No,No,2,Month-to-month,Yes,DSL,No,No,No,No,No,No,No,Yes,Credit card (automatic),46,84.5,2667,Yes,1,76,Don't know
9408-SSNVZ,United States,California,Stevenson Ranch,91381,34.364153,-118.615583,Female,No,No,Yes,4,Month-to-month,Yes,Fiber optic,No,No,No,No,No,No,No,Yes,Electronic check,70.15,268.35,2227,Yes,1,67,Don't know
0742-MOABM,United States,California,Panorama City,91402,34.223768,-118.445461,Male,No,Yes,No,4,Month-to-month,Yes,DSL,No,No,No,No,Yes,No,No,No,Mailed check,50.05,179.35,3394,Yes,1,82,Don't know
2232-DMLXU,United States,California,Van Nuys,91411,34.178470,-118.459472,Female,No,Yes,No,1,Month-to-month,Yes,DSL,No,Yes,No,No,No,No,No,No,Mailed check,55.2,55.2,3638,Yes,1,81,Poor expertise of online support
8937-RDTHP,United States,California,Burbank,91504,34.213049,-118.317651,Male,No,No,Yes,1,Month-to-month,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,Yes,Mailed check,84.6,84.6,2484,Yes,1,66,Poor expertise of phone support
